company,time,year,quarter,sale,profit,profit margin,asset,debt,equity
GS25,11,2020,3,18786,810,4.311721495,61040.90318,39950.64288,21090.2603
GS25,12,2020,4,17272,374,2.165354331,57371.91059,36053.07196,21318.83863
GS25,13,2021,1,16479,418,2.536561685,56488.1068,35857.38122,20630.72558
GS25,14,2021,2,18160,663,3.650881057,57909.23346,36726.80434,21182.42912
GSSuper,1,2018,1,3648,10,0.274122807,9379.500301,5061.993182,4317.507119
GSSuper,2,2018,2,3732,11,0.294748124,8704.152986,4620.830051,4083.322934
GSSuper,3,2018,3,4090,57,1.393643032,9338.018405,5001.077664,4336.940741
GSSuper,4,2018,4,3599,-98,-2.722978605,8446.923406,4374.296663,4072.626743
GSSuper,5,2019,1,3759,-48,-1.276935355,12239.67073,7840.695026,4398.975706
GSSuper,6,2019,2,3847,-11,-0.285937094,11346.95797,7189.223989,4157.733978
GSSuper,7,2019,3,3893,24,0.616491138,11216.71035,7021.689847,4195.0205
GSSuper,8,2019,4,3255,-255,-7.834101382,10253.51147,6548.203543,3705.307926
GSSuper,9,2020,1,3451,164,4.752245726,11440.06742,7354.421121,4085.646295
GSSuper,10,2020,2,3146,92,2.924348379,10260.96639,6600.096531,3660.86986
GSSuper,11,2020,3,3294,154,4.67516697,10703.11589,7005.079189,3698.0367
GSSuper,12,2020,4,2847,-94,-3.30172111,9456.798834,5942.745245,3514.053589
GSSuper,13,2021,1,2985,111,3.718592965,10232.23489,6495.192848,3737.042046
GSSuper,14,2021,2,2974,31,1.042367182,9483.59363,6014.620931,3468.972699
SevenEleven,1,2018,1,8668,8,0.092293493,15980,12072,3908
SevenEleven,2,2018,2,9728,193,1.983963816,15980,12072,3908
SevenEleven,3,2018,3,10243,188,1.835399785,15980,12072,3908
SevenEleven,4,2018,4,9360,40,0.427350427,15980,12072,3908
SevenEleven,5,2019,1,9183,34,0.370249374,15980,12072,3908
SevenEleven,6,2019,2,10214,196,1.918934795,15980,12072,3908
SevenEleven,7,2019,3,10854,173,1.59388244,15980,12072,3908
SevenEleven,8,2019,4,10327,20,0.193667086,15980,12072,3908
SevenEleven,9,2020,1,9357,-87,-0.929785188,17801,13850,3951
SevenEleven,10,2020,2,10251,17,0.165837479,17801,13850,3951
SevenEleven,11,2020,3,11005,74,0.672421627,17801,13850,3951
SevenEleven,12,2020,4,10071,-90,-0.893655049,17801,13850,3951
SevenEleven,13,2021,1,9794,-138,-1.409025934,18161,14371,3790
SevenEleven,14,2021,2,10983,80,0.728398434,18409,14551,3858
LotteMart,1,2018,1,12260,60,0.489396411,77217.97562,40113.63699,37104.33862
LotteMart,2,2018,2,11970,-380,-3.174603175,75351.73186,40218.44223,35133.28962
LotteMart,3,2018,3,13750,230,1.672727273,81920.58824,43241.17647,38679.41176
LotteMart,4,2018,4,11760,-80,-0.680272109,70215.06139,36993.99727,33221.06412
LotteMart,5,2019,1,12450,90,0.722891566,92592.50056,57860.16416,34732.33641
LotteMart,6,2019,2,11790,-500,-4.240882103,90581.38465,57542.39677,33038.98788
LotteMart,7,2019,3,12820,20,0.15600624,99346.99659,63017.35755,36329.63905
